
============================================================
  iNEST + TCC Research Pipeline v3.3
  2026-08-19 09:09
============================================================
[09:09:03] [S2] Searching Semantic Scholar (19 queries)...
[09:09:33]   S2: 429 rate limited; skip S2 for this run and continue with arXiv/GN
[09:09:33] [arXiv] Searching arXiv (via proxy, 21 queries)...
[09:09:34]   arXiv TCC-scale-noc: 429 rate limit, waiting 15s (exponential backoff)...
[09:10:19]   arXiv TCC-scale-noc: The read operation timed out, retry 2...
[09:10:30]   arXiv TCC-scale-noc: 429 rate limit, waiting 60s (exponential backoff)...
[09:11:36]   arXiv TCC-wafer-chiplet: 429 rate limit, waiting 15s (exponential backoff)...
[09:12:21]   arXiv TCC-wafer-chiplet: The read operation timed out, retry 2...
[09:13:02]   arXiv TCC-wafer-chiplet: The read operation timed out, giving up
[09:13:37]   arXiv TCC-reconfigurable: The read operation timed out, retry 1...
[09:13:43]   arXiv TCC-reconfigurable: 429 rate limit, waiting 30s (exponential backoff)...
[09:14:43]   arXiv TCC-reconfigurable: The read operation timed out, giving up
[09:15:19]   arXiv TCC-higher-order: The read operation timed out, retry 1...
[09:15:40]   arXiv TCC-higher-order: 429 rate limit, waiting 30s (exponential backoff)...
[09:16:40]   arXiv TCC-higher-order: The read operation timed out, giving up
[09:16:46]   arXiv TCC-sim-compile: 429 rate limit, waiting 15s (exponential backoff)...
[09:17:37]   arXiv TCC-sim-compile: 429 rate limit, waiting 30s (exponential backoff)...
[09:18:38]   arXiv TCC-sim-compile: The read operation timed out, giving up
[09:18:43]   arXiv: batch separator, pausing 10s...
[09:19:23]   arXiv TCC-topology-opt: The read operation timed out, retry 1...
[09:19:29]   arXiv TCC-topology-opt: 429 rate limit, waiting 30s (exponential backoff)...
[09:19:59]   arXiv TCC-topology-opt: 429 rate limit, waiting 60s (exponential backoff)...
[09:21:05]   arXiv TCC-qos: 429 rate limit, waiting 15s (exponential backoff)...
[09:21:36]   arXiv TCC-qos: 429 rate limit, waiting 30s (exponential backoff)...
[09:22:37]   arXiv TCC-qos: The read operation timed out, giving up
[09:22:42]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 15s (exponential backoff)...
[09:22:58]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 30s (exponential backoff)...
[09:23:44]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 60s (exponential backoff)...
[09:24:50]   arXiv iNEST-nonlinear: 429 rate limit, waiting 15s (exponential backoff)...
[09:25:35]   arXiv iNEST-nonlinear: The read operation timed out, retry 2...
[09:26:16]   arXiv iNEST-nonlinear: The read operation timed out, giving up
[09:26:51]   arXiv iNEST-spatiotemporal: The read operation timed out, retry 1...
[09:27:12]   arXiv iNEST-spatiotemporal: 429 rate limit, waiting 30s (exponential backoff)...
