
============================================================
SPECIES: C.elegans  (N=279, k_avg=16.4)
============================================================
  [C.elegans] N=279, init_edges=2951, sensor=61, patterns=8
  step   200: sigma=0.596 C=0.028 L=2.025 alpha=-0.055 EL=0.0% edges=2462
  step   400: sigma=0.596 C=0.028 L=2.025 alpha=-0.177 EL=0.0% edges=2462
  step   600: sigma=0.596 C=0.028 L=2.025 alpha=-0.186 EL=0.0% edges=2462
  step   800: sigma=0.596 C=0.028 L=2.025 alpha=-0.172 EL=0.5% edges=2462
  step  1000: sigma=0.596 C=0.028 L=2.025 alpha=-0.148 EL=7.2% edges=2462
  step  1200: sigma=0.596 C=0.028 L=2.025 alpha=-0.290 EL=15.3% edges=2462
  step  1400: sigma=0.596 C=0.028 L=2.025 alpha=-0.170 EL=21.2% edges=2462
  step  1600: sigma=0.596 C=0.028 L=2.025 alpha=-0.264 EL=20.6% edges=2462
  step  1800: sigma=0.596 C=0.028 L=2.025 alpha=-0.216 EL=19.9% edges=2462
  step  2000: sigma=0.596 C=0.028 L=2.025 alpha=-0.396 EL=21.5% edges=2462
  step  2200: sigma=0.596 C=0.028 L=2.025 alpha=-0.398 EL=21.9% edges=2462
  step  2400: sigma=0.596 C=0.028 L=2.025 alpha=-0.440 EL=21.0% edges=2462
  step  2600: sigma=0.596 C=0.028 L=2.025 alpha=-0.226 EL=20.4% edges=2462
  step  2800: sigma=0.596 C=0.028 L=2.025 alpha=-0.311 EL=21.5% edges=2462
  step  3000: sigma=0.596 C=0.028 L=2.025 alpha=-0.291 EL=20.1% edges=2462
  step  3200: sigma=0.596 C=0.028 L=2.025 alpha=-0.370 EL=21.4% edges=2462
  step  3400: sigma=0.596 C=0.028 L=2.025 alpha=-0.287 EL=20.7% edges=2462
  step  3600: sigma=0.596 C=0.028 L=2.025 alpha=-0.311 EL=20.1% edges=2462
  step  3800: sigma=0.596 C=0.028 L=2.025 alpha=-0.299 EL=21.6% edges=2462
  step  4000: sigma=0.596 C=0.028 L=2.025 alpha=-0.433 EL=21.0% edges=2462
  step  4200: sigma=0.596 C=0.028 L=2.025 alpha=-0.393 EL=20.3% edges=2462
  step  4400: sigma=0.596 C=0.028 L=2.025 alpha=-0.233 EL=21.9% edges=2462
  step  4600: sigma=0.596 C=0.028 L=2.025 alpha=-0.361 EL=21.2% edges=2462
